ConstituentID,DisplayName,candidats_scores_wikidata,date_naissance,Lieu_naissance,date_mort,Lieu_mort,Roles 1,Roles 2,Roles 3,Roles 4,Roles 5,Nationalite 1,Nationalite 2,Nationalite 3,Nationalite 4,Nationalite 5,Domaines_activite 1,Domaines_activite 2,Domaines_activite 3,Domaines_activite 4,Domaines_activite 5
20341,Ch. Prost,"{candidats : [('Q122475004', 26.6666666667)]}",,,,,,,,,,France,,,,,sculpture,,,,
20437,Alice Pène,"{candidats : [('Q75310037', 25.5294117647), ('Q75587070', 20.5882352941), ('Q76368107', 20.5882352941), ('Q75963894', 18.8235294118), ('Q76189076', 16.7647058824)]}",1869,Nancy,1940,Nancy,,,,,,France,,,,,peinture,,,,
21228,Auguste Léonard Rounblom,,1823,,1858,,,,,,,Suède,,,,,sculpture,,,,
20520,Paul Adolphe Rajon,"{candidats : [('Q3370428', 84.6153846154)]}",,,1888,Auvers-sur-Oise,,,,,,France,,,,,peinture,,,,
20541,Joseph Marius Ramus,"{candidats : [('Q3185317', 88.2352941176)]}",1805,Aix-en-Provence,1888,Nogent-sur-Seine,,,,,,France,,,,,sculpture,,,,
20567,Wilhem Robert Rasmussen,,1879,Skien,1965,Oslo,,,,,,Norvège,,,,,sculpture,,,,
20621,Henri Raynaud,"{candidats : [('Q3131885', 77.7777777778), ('Q132744334', 60.0), ('Q42944242', 55.0), ('Q112998653', 40.0), ('Q112998563', 34.4444444444)]}",,,,,,,,,,France,,,,,peinture,,,,
20632,Marcel-Jean Reboul,,1845,Puteaux,1909,,,,,,,France,,,,,peinture,,,,
20652,Antony-Ludovic Régnier,"{candidats : [('Q106824265', 76.4705882353)]}",1851,Paris,1930,,,,,,,France,,,,,arts décoratifs,peinture,,,
20826,Lucy C. Richards,"{candidats : [('Q99362888', 51.6666666667)]}",,,,,,,,,,Etats-Unis,,,,,sculpture,,,,
21569,Hippolyte Sancy,,,,,,,,,,,France,,,,,peinture,,,,
21674,Savignol,"{candidats : [('Q15990981', 72.2222222222), ('Q3484441', 62.7777777778)]}",,,,,,,,,,France,,,,,sculpture,,,,
21693,Lazare Scchos,,1862,Tinos (île de),1911,Athènes,,,,,,Grèce,,,,,sculpture,,,,
20909,Louise Berthe Riquoir,,1869,Lyon,,,,,,,,France,,,,,peinture,,,,
21733,Franz Bernhard Schiller,"{candidats : [('Q1446252', 88.2352941176)]}",1815,Ostritz,1857,Hambourg,,,,,,Allemagne,,,,,sculpture,,,,
21821,Paul Schulz,"{candidats : [('Q2062348', 65.6923076923), ('Q1692042', 63.3846153846), ('Q55072496', 60.0), ('Q2062343', 59.6923076923), ('Q1510962', 57.3846153846), ('Q17194403', 54.0), ('Q36655537', 53.8461538462), ('Q127275165', 53.8461538462), ('Q1394940', 53.2307692308), ('Q126126811', 51.5384615385), ('Q15839768', 50.7692307692), ('Q16067027', 50.7692307692), ('Q98985', 49.3076923077), ('Q98556', 48.6153846154), ('Q84171547', 48.5384615385), ('Q125851525', 47.0769230769), ('Q94815033', 46.6153846154), ('Q1600958', 45.3076923077), ('Q112516716', 45.2307692308), ('Q2575017', 44.8461538462), ('Q1673069', 44.6153846154), ('Q95291865', 44.6153846154), ('Q112326617', 44.1538461538), ('Q99383928', 43.4615384615), ('Q16009382', 42.3076923077)]}",1875,Tschirnau,,,,,,,,Allemagne,,,,,sculpture,,,,
21857,Antonio Sciortino,"{candidats : [('Q3805421', 53.2727272727), ('Q673570', 52.7272727273)]}",1881,,,,,,,,,Royaume-Uni,,,,,sculpture,,,,
21060,Mme Mathilde Marie Roinet Lebailly,,1871,Paris,1921,,,,,,,France,,,,,sculpture,,,,
21066,Enrique Roldan,"{candidats : [('Q24685753', 69.4444444444), ('Q3726158', 66.6666666667), ('Q5400375', 66.6666666667), ('Q100139544', 55.5555555556), ('Q86229326', 54.5555555556), ('Q13918571', 51.1111111111), ('Q102721718', 43.3333333333)]}",,,,,,,,,,Espagne,,,,,peinture,,,,
21210,Emilie Caroline Rouget,,1848,Paris,1905,,,,,,,France,,,,,peinture,sculpture,arts décoratifs,,
22046,Imre Simay,"{candidats : [('Q1288438', 86.6666666667), ('Q131618199', 8.66666666667)]}",1874,Budapest,1955,,,,,,,Hongrie,,,,,sculpture,,,,
22116,A. Beer,"{candidats : [('Q4083920', 67.1111111111), ('Q60133', 64.0), ('Q1503658', 53.7777777778), ('Q60242397', 52.1111111111), ('Q130318887', 51.6666666667), ('Q2063518', 49.8888888889), ('Q682112', 44.4444444444), ('Q4771917', 43.8888888889), ('Q105237', 41.6666666667), ('Q41843', 35.0), ('Q106397356', 35.0), ('Q110561647', 35.0), ('Q15059490', 34.2222222222), ('Q130269175', 33.3333333333), ('Q36749', 26.6666666667), ('Q66386593', 26.1111111111), ('Q42613377', 24.4444444444), ('Q861566', 23.3333333333)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
22285,Léon Sebastien Louis Jude,,1852,Arras,,,,,,,,France,,,,,photographie,,,,
21494,Elia Sala,"{candidats : [('Q2032941', 83.4117647059), ('Q29642547', 41.7647058824), ('Q20379070', 30.3529411765), ('Q47216279', 23.5294117647)]}",1864,Milan,1920,Precotto,,,,,,Italie,,,,,sculpture,,,,
21535,L. Salvadori,"{candidats : [('Q3851325', 62.7777777778), ('Q792', 50.5555555556), ('Q37577', 46.2222222222), ('Q2066437', 30.6666666667), ('Q101849', 29.4444444444)]}",,,,,,,,,,Italie,,,,,sculpture,,,,
22482,Augustin Aimé Joseph Le Jeune,"{candidats : [('Q18507897', 74.3636363636)]}",,,,,Artiste,,,,,France,,,,,photographie,,,,
22538,Isaac Levy,"{candidats : [('Q106080524', 56.1538461538), ('Q15407632', 53.8461538462), ('Q1605922', 47.2307692308), ('Q102788238', 47.2307692308), ('Q2910106', 46.9230769231), ('Q6076205', 41.7692307692), ('Q129169348', 38.4615384615), ('Q134393639', 37.5384615385), ('Q60272229', 36.8461538462), ('Q108359502', 36.0769230769), ('Q7040772', 35.7692307692), ('Q2579931', 34.5384615385), ('Q131376721', 33.9230769231), ('Q126421076', 30.7692307692), ('Q94536956', 28.4615384615), ('Q133814973', 28.4615384615), ('Q7345764', 26.7692307692), ('Q39273952', 26.5384615385), ('Q1391502', 25.7692307692)]}",1833,,1913,,,,,,,France,,,,,photographie,,,,
22562,Edouard Lockroy,"{candidats : [('Q733836', 53.7333333333)]}",1840,,1913,,,,,,,France,Israël,,,,photographie,,,,
22614,Gad Frederik Clement,"{candidats : [('Q15376256', 88.2352941176)]}",1867,Frederiksberg,1933,Copenhague,,,,,,Danemark,,,,,peinture,,,,
22619,Augusta Dohlmann,"{candidats : [('Q12302478', 100.0)]}",1847,Frederiksberg,1914,Skotterup,,,,,,Danemark,,,,,peinture,,,,
22776,Félix Martin-Sabon,"{candidats : [('Q3092533', 73.3333333333)]}",1846,,1933,,,,,,,France,,,,,photographie,architecture,,,
22861,Peter Moosbrugger,"{candidats : [('Q1473765', 65.7777777778), ('Q2073697', 57.4444444444), ('Q115327239', 55.5555555556), ('Q19260349', 36.1111111111)]}",,,,,,,,,,France,,,,,photographie,,,,
21791,Henri Schonhardt,,1877,Providence,,,,,,,,Etats-Unis,,,,,sculpture,,,,
22022,Emil Sigel,,,,,,,,,,,Suisse,,,,,sculpture,,,,
22353,Adolphe Lamaille,,1807-10-13,,,,,,,,,France,,,,,photographie,,,,
23605,August Heinrich Niedmann,"{candidats : [('Q26213468', 81.6470588235)]}",1826,Brunswick,1910,Ried im Innkreis,,,,,,Allemagne,,,,,peinture,,,,
22666,Carsten Henrichsen,"{candidats : [('Q26197153', 88.2352941176)]}",1824,Copenhague,1897,Copenhague,,,,,,Danemark,,,,,peinture,,,,
23689,Jenny de Vasson,"{candidats : [('Q3177173', 85.1578947368)]}",1872,La Châtre,1920,Fougerolles,Artiste,,,,,France,,,,,photographie,,,,
23810,Franz von Pausinger,"{candidats : [('Q1449698', 82.7058823529)]}",1839,Frankenburg,1915,Frankenburg,,,,,,Autriche,,,,,peinture,,,,
23015,S. Tenner,"{candidats : [('Q4159284', 23.8888888889)]}",,,,,,,,,,Allemagne,,,,,arts décoratifs,,,,
24015,James Clarke Batkin,"{candidats : [('Q109886344', 52.9411764706)]}",1867,Aston,1936,Londres,,,,,,Royaume-Uni,,,,,photographie,,,,
24063,Davis Edmonson Benson,,1861,,1937,,,,,,,Royaume-Uni,,,,,photographie,,,,
